20005	0
20006	1
20011	1
20019	0
20033	1
20039	0
20046	1
20047	0
20063	0
20101	0
20111	0
20124	0
20127	0
20138	1
20142	0
20148	0
20161	0
20162	1
20175	1
20188	0
20210	0
20213	0
20232	1
20241	1
20255	0
20265	0
20288	1
20302	1
20303	0
20305	1
20307	0
20315	1
20337	1
20340	0
20341	1
20353	0
20370	0
20376	1
20399	1
20400	0
20414	0
20429	0
20430	0
20451	0
20458	1
20464	0
20496	0
20511	0
20516	0
20526	0
20536	1
20539	0
20552	0
20565	0
20573	0
20579	1
20584	0
20590	1
20591	0
20603	0
20612	0
20617	0
20620	0
20623	1
20644	0
20650	0
20652	0
20657	1
20686	0
20711	1
20717	0
20720	1
20737	0
20738	0
20741	1
20747	1
20748	0
20749	0
20750	1
20751	1
20794	1
20800	1
20803	0
20813	0
20814	0
20819	0
20824	0
20833	1
20835	1
20837	1
20861	0
20865	0
20872	1
20873	0
20918	0
20922	0
20928	0
20933	0
20935	1
20940	1
20942	0
20943	0
20946	1
20951	0
20952	1
20953	0
20981	1
20986	0
20990	0
21015	1
21034	1
21044	0
21050	1
21066	0
21072	0
21076	1
21077	0
21081	0
21100	0
21104	1
21116	0
21124	1
21144	1
21149	0
21152	1
21155	0
21169	0
21170	0
21172	1
21215	1
21221	0
21222	0
21228	0
21238	0
21249	1
21255	0
21257	0
21263	0
21269	0
21277	0
21282	1
21284	1
21297	1
21305	0
21327	0
21333	0
21335	0
21339	0
21351	0
21387	0
21398	0
21402	0
21417	1
21433	1
21438	1
21440	0
21449	0
21455	0
21469	0
21491	0
21493	0
21497	0
21535	0
21565	0
21571	1
21598	0
21599	0
21603	0
21612	0
21616	0
21617	1
21619	0
21622	0
21631	0
21637	1
21643	0
21660	0
21667	0
21670	1
21671	0
21705	1
21727	0
21769	1
21771	0
21778	0
21788	1
21812	1
21824	0
21826	0
21832	1
21841	1
21859	0
21867	0
21873	1
21877	1
21880	1
21887	0
21892	1
21895	1
21908	0
21920	0
21927	0
21938	0
21941	0
21943	0
21944	0
21948	1
21955	1
21959	1
21966	0
21992	0
22005	0
22008	1
22012	0
22014	0
22021	0
22028	1
22037	0
22062	0
22065	0
22067	1
22082	0
22115	1
22128	1
22132	0
22142	1
22152	0
22163	0
22165	0
22168	1
22189	0
22199	0
22209	1
22214	0
22218	1
22237	0
22243	0
22245	0
22255	1
22285	0
22290	0
22297	0
22328	1
22346	0
22375	1
22381	0
22388	1
22401	0
22416	1
22417	0
22418	0
22429	0
22437	1
22450	0
22451	0
22456	0
22457	1
22471	1
22479	0
22517	0
22528	0
22560	1
22574	1
22575	0
22589	1
22592	1
22594	1
22632	0
22658	1
22660	0
22661	0
22669	0
22676	0
22679	0
22711	1
22714	1
22718	0
22725	0
22729	0
22739	0
22768	1
22782	0
22787	0
22800	0
22801	1
22811	0
22814	1
22815	0
22822	0
22826	0
22834	0
22835	0
22846	0
22848	1
22861	0
22867	0
22877	0
22885	1
22888	0
22889	0
22894	0
22898	0
22920	1
22938	0
22952	0
22953	0
22954	0
22971	1
22972	1
22998	0
23003	0
23009	1
23019	1
23021	1
23059	1
23086	0
23088	0
23090	0
23098	1
23122	0
23123	0
23179	0
23192	1
23215	1
23217	0
23234	0
23246	1
23247	1
23250	1
23255	0
23259	0
23308	0
23320	1
23325	0
23333	0
23337	1
23341	1
23342	0
23345	0
23363	0
23374	0
23380	0
23386	1
23387	0
23390	1
23392	0
23394	0
23396	0
23415	0
23429	1
23439	0
23444	0
23446	0
23450	1
23493	1
23506	1
23520	1
23532	0
23542	0
23545	1
23565	1
23568	0
23580	0
23596	0
23614	1
23615	1
23622	0
23633	0
23635	0
23647	1
23651	1
23652	0
23663	0
23687	1
23688	0
23690	0
23716	0
23728	0
23735	0
23742	0
23750	0
23751	0
23754	1
23755	1
23777	0
23783	1
23800	0
23827	0
23830	0
23875	0
23900	0
23901	1
23912	0
23922	0
23926	1
23928	1
23935	0
23943	0
23944	0
23954	1
23957	1
23979	0
23988	1
23989	0
23990	0
23991	0
24019	1
24024	1
24028	0
24031	0
24055	0
24062	1
24066	0
24083	0
24099	1
24104	1
24115	0
24123	1
24126	1
24140	1
24147	1
24155	1
24159	1
24160	0
24172	0
24180	1
24188	0
24190	0
24209	0
24247	0
24290	1
24294	0
24301	1
24310	1
24311	0
24321	1
24326	0
24338	0
24350	0
24352	1
24356	0
24357	0
24368	1
24373	0
24374	0
24397	0
24401	1
24402	1
24413	0
24431	0
24434	0
24442	0
24451	0
24467	0
24481	1
24488	0
24492	0
24520	0
24527	0
24529	0
24536	1
24544	0
24564	1
24569	0
24576	0
24590	0
24624	0
24625	0
24632	0
24646	0
24649	0
24651	0
24677	0
24686	0
24691	0
24692	1
24696	1
24701	1
24705	0
24733	0
24736	0
24746	1
24768	1
24773	0
24817	0
24821	1
24822	0
24845	1
24864	0
24870	0
24895	1
24907	0
24909	0
24925	0
24928	0
24930	1
24953	0
24973	0
24983	1
24986	1
